#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051338	Regulation of transferase activity	32	1036	0.32	0.0057	9606.ENSP00000253063,9606.ENSP00000256442,9606.ENSP00000261875,9606.ENSP00000262662,9606.ENSP00000269305,9606.ENSP00000278572,9606.ENSP00000288207,9606.ENSP00000294066,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000311083,9606.ENSP00000312995,9606.ENSP00000313950,9606.ENSP00000328174,9606.ENSP00000335153,9606.ENSP00000335357,9606.ENSP00000341885,9606.ENSP00000346037,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000359345,9606.ENSP00000361540,9606.ENSP00000363676,9606.ENSP00000368664,9606.ENSP00000378699,9606.ENSP00000380256,9606.ENSP00000406873,9606.ENSP00000408295,9606.ENSP00000432412,9606.ENSP00000453302,9606.ENSP00000456348,9606.ENSP00000479669	SESN2,CCNB1,PTPLAD1,CDKN2C,TP53,RPS3,CCNB2,MAP4K2,MAD2L1,PLK1,CKS1B,CLSPN,AURKB,PIF1,HSP90AA1,CDKN3,RPS2,RPLP1,NEK2,KIF14,RPL5,CDC20,RPL11,RGCC,CDK1,CCNF,PAK6,RFC5,ATG13,ADAM8,PARP6,CAB39L
GO Process	GO:0009141	Nucleoside triphosphate metabolic process	8	91	0.77	0.0058	9606.ENSP00000215375,9606.ENSP00000262030,9606.ENSP00000301587,9606.ENSP00000306003,9606.ENSP00000349142,9606.ENSP00000358737,9606.ENSP00000360939,9606.ENSP00000446215	ATP5D,ATP5B,ATP5H,ATP5I,ATP5C1,ATP5F1,CMPK1,RAN
GO Process	GO:0034660	ncRNA metabolic process	19	467	0.44	0.0060	9606.ENSP00000265564,9606.ENSP00000315476,9606.ENSP00000321711,9606.ENSP00000341885,9606.ENSP00000346046,9606.ENSP00000357199,9606.ENSP00000358060,9606.ENSP00000359345,9606.ENSP00000359688,9606.ENSP00000359939,9606.ENSP00000361433,9606.ENSP00000363676,9606.ENSP00000366519,9606.ENSP00000368984,9606.ENSP00000379888,9606.ENSP00000389182,9606.ENSP00000395196,9606.ENSP00000414321,9606.ENSP00000446215	EXOSC7,EXOSC4,DIS3L,RPS2,RPS17,RRNAD1,TARS2,RPL5,RPF1,EXOSC1,EXOSC2,RPL11,NSUN6,EXOSC9,RPS8,RPP30,EARS2,RPS24,RAN
GO Process	GO:0043632	Modification-dependent macromolecule catabolic process	21	552	0.41	0.0065	9606.ENSP00000256442,9606.ENSP00000258149,9606.ENSP00000265564,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000313950,9606.ENSP00000352676,9606.ENSP00000354571,9606.ENSP00000355958,9606.ENSP00000356319,9606.ENSP00000361433,9606.ENSP00000361540,9606.ENSP00000368984,9606.ENSP00000378699,9606.ENSP00000380256,9606.ENSP00000434614,9606.ENSP00000439403,9606.ENSP00000448665,9606.ENSP00000478320,9606.ENSP00000483430	CCNB1,MDM2,EXOSC7,BUB1B,MAD2L1,PLK1,AURKB,ZRANB1,RNF121,DTL,KIF14,EXOSC2,CDC20,EXOSC9,CDK1,CCNF,CDC27,ANAPC15,DDIT3,ATXN3,IFI27
GO Process	GO:0002443	Leukocyte mediated immunity	23	641	0.38	0.0070	9606.ENSP00000228506,9606.ENSP00000278407,9606.ENSP00000294785,9606.ENSP00000303276,9606.ENSP00000313967,9606.ENSP00000335153,9606.ENSP00000342026,9606.ENSP00000345347,9606.ENSP00000346130,9606.ENSP00000355506,9606.ENSP00000356016,9606.ENSP00000356574,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000369538,9606.ENSP00000379191,9606.ENSP00000433642,9606.ENSP00000448012,9606.ENSP00000451112,9606.ENSP00000452780,9606.ENSP00000453302	MLEC,SERPING1,NCSTN,RNASE2,C1QB,HSP90AA1,PRDX6,HMGB1,SVIP,EXO1,CR1,QSOX1,C1QC,C1QA,PADI2,SLC2A5,GDI2,CD59,FCGR3B,CEP290,NPC2,B2M,ADAM8
GO Process	GO:0010639	Negative regulation of organelle organization	17	395	0.46	0.0071	9606.ENSP00000269305,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000313950,9606.ENSP00000328174,9606.ENSP00000341826,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000361540,9606.ENSP00000368664,9606.ENSP00000378402,9606.ENSP00000380256,9606.ENSP00000388648,9606.ENSP00000410452,9606.ENSP00000411532,9606.ENSP00000416673	TP53,BUB1B,MAD2L1,PLK1,AURKB,PIF1,HNRNPA1,CENPF,NEK2,CDC20,RGCC,SIN3A,CCNF,CHEK1,STMN1,TOP2A,PATL2
GO Process	GO:0010629	Negative regulation of gene expression	51	2014	0.23	0.0073	9606.ENSP00000253063,9606.ENSP00000256442,9606.ENSP00000258149,9606.ENSP00000261531,9606.ENSP00000265564,9606.ENSP00000269305,9606.ENSP00000278572,9606.ENSP00000300093,9606.ENSP00000301788,9606.ENSP00000311430,9606.ENSP00000313950,9606.ENSP00000315476,9606.ENSP00000318094,9606.ENSP00000322419,9606.ENSP00000341885,9606.ENSP00000342307,9606.ENSP00000345008,9606.ENSP00000345347,9606.ENSP00000346037,9606.ENSP00000346046,9606.ENSP00000346088,9606.ENSP00000354645,9606.ENSP00000355922,9606.ENSP00000356150,9606.ENSP00000356840,9606.ENSP00000357881,9606.ENSP00000359345,9606.ENSP00000359939,9606.ENSP00000361433,9606.ENSP00000361626,9606.ENSP00000363676,9606.ENSP00000368664,9606.ENSP00000368984,9606.ENSP00000373474,9606.ENSP00000378402,9606.ENSP00000379888,9606.ENSP00000380024,9606.ENSP00000380349,9606.ENSP00000389277,9606.ENSP00000403172,9606.ENSP00000412292,9606.ENSP00000414321,9606.ENSP00000416673,9606.ENSP00000434024,9606.ENSP00000435777,9606.ENSP00000438553,9606.ENSP00000446215,9606.ENSP00000448665,9606.ENSP00000449328,9606.ENSP00000481103,9606.ENSP00000483430	SESN2,CCNB1,MDM2,SNW1,EXOSC7,TP53,RPS3,PLK1,POLR2G,RPL4,AURKB,EXOSC4,SCMH1,RPLP2,RPS2,FOXM1,FBLN5,HMGB1,RPLP1,RPS17,RPL22,GPATCH3,CENPF,MDM4,POU2F1,IKZF5,RPL5,EXOSC1,EXOSC2,YBX1,RPL11,RGCC,EXOSC9,METTL14,SIN3A,RPS8,ING4,CAPN3,TMBIM6,RPL6,DEPDC1,RPS24,PATL2,H2AFX,RPS13,H2AFJ,RAN,DDIT3,RPLP0,E2F8,IFI27
GO Process	GO:0050792	Regulation of viral process	12	215	0.57	0.0073	9606.ENSP00000219252,9606.ENSP00000261531,9606.ENSP00000261875,9606.ENSP00000301788,9606.ENSP00000324124,9606.ENSP00000370625,9606.ENSP00000386187,9606.ENSP00000411532,9606.ENSP00000438483,9606.ENSP00000480158,9606.ENSP00000483430,9606.ENSP00000484689	POLR2C,SNW1,PTPLAD1,POLR2G,POLR2L,POLR2B,IFITM1,TOP2A,KPNA2,POLR2A,IFI27,IFITM2
GO Process	GO:0098781	ncRNA transcription	8	95	0.75	0.0073	9606.ENSP00000219252,9606.ENSP00000261520,9606.ENSP00000269305,9606.ENSP00000301788,9606.ENSP00000324124,9606.ENSP00000356840,9606.ENSP00000370625,9606.ENSP00000480158	POLR2C,ICE2,TP53,POLR2G,POLR2L,POU2F1,POLR2B,POLR2A
GO Process	GO:0048518	Positive regulation of biological process	121	6112	0.12	0.0074	9606.ENSP00000219252,9606.ENSP00000236273,9606.ENSP00000246551,9606.ENSP00000247191,9606.ENSP00000253063,9606.ENSP00000256442,9606.ENSP00000256996,9606.ENSP00000258149,9606.ENSP00000260363,9606.ENSP00000261520,9606.ENSP00000261531,9606.ENSP00000261875,9606.ENSP00000261881,9606.ENSP00000262030,9606.ENSP00000265036,9606.ENSP00000265643,9606.ENSP00000269305,9606.ENSP00000275517,9606.ENSP00000278353,9606.ENSP00000278407,9606.ENSP00000278572,9606.ENSP00000284292,9606.ENSP00000289749,9606.ENSP00000294066,9606.ENSP00000294785,9606.ENSP00000296509,9606.ENSP00000298223,9606.ENSP00000300093,9606.ENSP00000301788,9606.ENSP00000303222,9606.ENSP00000311083,9606.ENSP00000312029,9606.ENSP00000312995,9606.ENSP00000313950,9606.ENSP00000313967,9606.ENSP00000315476,9606.ENSP00000324124,9606.ENSP00000331019,9606.ENSP00000335153,9606.ENSP00000335247,9606.ENSP00000341826,9606.ENSP00000341885,9606.ENSP00000342026,9606.ENSP00000342307,9606.ENSP00000345008,9606.ENSP00000345347,9606.ENSP00000346037,9606.ENSP00000346130,9606.ENSP00000346697,9606.ENSP00000347032,9606.ENSP00000349238,9606.ENSP00000352676,9606.ENSP00000354645,9606.ENSP00000355958,9606.ENSP00000355966,9606.ENSP00000356016,9606.ENSP00000356150,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356840,9606.ENSP00000356946,9606.ENSP00000357152,9606.ENSP00000357206,9606.ENSP00000357881,9606.ENSP00000358482,9606.ENSP00000359345,9606.ENSP00000361433,9606.ENSP00000361540,9606.ENSP00000361626,9606.ENSP00000362817,9606.ENSP00000363583,9606.ENSP00000363676,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000364635,9606.ENSP00000366237,9606.ENSP00000368664,9606.ENSP00000368984,9606.ENSP00000370625,9606.ENSP00000370938,9606.ENSP00000372088,9606.ENSP00000373474,9606.ENSP00000376306,9606.ENSP00000377793,9606.ENSP00000378402,9606.ENSP00000378699,9606.ENSP00000379895,9606.ENSP00000380024,9606.ENSP00000380349,9606.ENSP00000381844,9606.ENSP00000385451,9606.ENSP00000385510,9606.ENSP00000386187,9606.ENSP00000386485,9606.ENSP00000388648,9606.ENSP00000402373,9606.ENSP00000406873,9606.ENSP00000408295,9606.ENSP00000409463,9606.ENSP00000410452,9606.ENSP00000411532,9606.ENSP00000415430,9606.ENSP00000432412,9606.ENSP00000434024,9606.ENSP00000434614,9606.ENSP00000438483,9606.ENSP00000446215,9606.ENSP00000448012,9606.ENSP00000448665,9606.ENSP00000452780,9606.ENSP00000453302,9606.ENSP00000453403,9606.ENSP00000456348,9606.ENSP00000478320,9606.ENSP00000479669,9606.ENSP00000480158,9606.ENSP00000481103,9606.ENSP00000481110,9606.ENSP00000481126,9606.ENSP00000481920,9606.ENSP00000482841	POLR2C,SYF2,HCST,DLGAP5,SESN2,CCNB1,DDB2,MDM2,KIF23,ICE2,SNW1,PTPLAD1,TIPIN,ATP5B,DEPDC1B,GAL,TP53,CDCA5,HSD17B12,SERPING1,RPS3,NRGN,NBL1,MAP4K2,NCSTN,MAD2L1,FOLR2,PLK1,POLR2G,MTCH2,CKS1B,UCP2,CLSPN,AURKB,C1QB,EXOSC4,POLR2L,RPS27L,HSP90AA1,STARD10,HNRNPA1,RPS2,PRDX6,FOXM1,FBLN5,HMGB1,RPLP1,SVIP,BMF,PIP4K2C,CCDC88B,ZRANB1,GPATCH3,DTL,NEK2,CR1,MDM4,KIF14,ASPM,POU2F1,FCGR3A,CD1C,NES,IKZF5,CD101,RPL5,EXOSC2,CDC20,YBX1,FABP3,RASGEF1A,RPL11,C1QC,C1QA,PADI2,DFFA,RGCC,EXOSC9,POLR2B,CDK8,RAD51,METTL14,CIT,PRC1,SIN3A,CDK1,GATM,ING4,CAPN3,ATL3,MDK,GPSM2,IFITM1,APOPT1,CHEK1,ACTA2,PAK6,RFC5,ZNF740,STMN1,TOP2A,GTSE1,ATG13,H2AFX,CDC27,KPNA2,RAN,CEP290,DDIT3,B2M,ADAM8,NUSAP1,PARP6,ATXN3,CAB39L,POLR2A,E2F8,FAM83D,VPS11,MED6,CRABP2
GO Process	GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	4	15	1.25	0.0077	9606.ENSP00000269305,9606.ENSP00000331019,9606.ENSP00000342307,9606.ENSP00000380024	TP53,RPS27L,FOXM1,ING4
GO Process	GO:0042795	snRNA transcription by RNA polymerase II	7	71	0.82	0.0077	9606.ENSP00000219252,9606.ENSP00000261520,9606.ENSP00000301788,9606.ENSP00000324124,9606.ENSP00000356840,9606.ENSP00000370625,9606.ENSP00000480158	POLR2C,ICE2,POLR2G,POLR2L,POU2F1,POLR2B,POLR2A
GO Process	GO:0009892	Negative regulation of metabolic process	71	3124	0.18	0.0078	9606.ENSP00000253063,9606.ENSP00000256442,9606.ENSP00000258149,9606.ENSP00000261313,9606.ENSP00000261336,9606.ENSP00000261531,9606.ENSP00000261881,9606.ENSP00000262662,9606.ENSP00000264233,9606.ENSP00000265564,9606.ENSP00000269305,9606.ENSP00000278407,9606.ENSP00000278572,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000301788,9606.ENSP00000311430,9606.ENSP00000313950,9606.ENSP00000315476,9606.ENSP00000318094,9606.ENSP00000322419,9606.ENSP00000323929,9606.ENSP00000328174,9606.ENSP00000335463,9606.ENSP00000341826,9606.ENSP00000341885,9606.ENSP00000342307,9606.ENSP00000342513,9606.ENSP00000345008,9606.ENSP00000345347,9606.ENSP00000346037,9606.ENSP00000346046,9606.ENSP00000346088,9606.ENSP00000346130,9606.ENSP00000346697,9606.ENSP00000353670,9606.ENSP00000354645,9606.ENSP00000355922,9606.ENSP00000356016,9606.ENSP00000356150,9606.ENSP00000356574,9606.ENSP00000356840,9606.ENSP00000357881,9606.ENSP00000359345,9606.ENSP00000359939,9606.ENSP00000361433,9606.ENSP00000361626,9606.ENSP00000363676,9606.ENSP00000366237,9606.ENSP00000367828,9606.ENSP00000368664,9606.ENSP00000368984,9606.ENSP00000373474,9606.ENSP00000378402,9606.ENSP00000379888,9606.ENSP00000380024,9606.ENSP00000380349,9606.ENSP00000386485,9606.ENSP00000389277,9606.ENSP00000403172,9606.ENSP00000412292,9606.ENSP00000414321,9606.ENSP00000416673,9606.ENSP00000434024,9606.ENSP00000435777,9606.ENSP00000438553,9606.ENSP00000446215,9606.ENSP00000448665,9606.ENSP00000449328,9606.ENSP00000481103,9606.ENSP00000483430	SESN2,CCNB1,MDM2,PEBP1,PZP,SNW1,TIPIN,CDKN2C,POLQ,EXOSC7,TP53,SERPING1,RPS3,MAD2L1,PLK1,POLR2G,RPL4,AURKB,EXOSC4,SCMH1,RPLP2,A2M,PIF1,CASC5,HNRNPA1,RPS2,FOXM1,IFI6,FBLN5,HMGB1,RPLP1,RPS17,RPL22,SVIP,BMF,SPOCD1,GPATCH3,CENPF,CR1,MDM4,QSOX1,POU2F1,IKZF5,RPL5,EXOSC1,EXOSC2,YBX1,RPL11,DFFA,ITM2B,RGCC,EXOSC9,METTL14,SIN3A,RPS8,ING4,CAPN3,APOPT1,TMBIM6,RPL6,DEPDC1,RPS24,PATL2,H2AFX,RPS13,H2AFJ,RAN,DDIT3,RPLP0,E2F8,IFI27
GO Process	GO:0000079	Regulation of cyclin-dependent protein serine/threonine kinase activity	8	97	0.74	0.0081	9606.ENSP00000256442,9606.ENSP00000262662,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000311083,9606.ENSP00000335357,9606.ENSP00000368664,9606.ENSP00000380256	CCNB1,CDKN2C,CCNB2,PLK1,CKS1B,CDKN3,RGCC,CCNF
GO Process	GO:0051234	Establishment of localization	94	4479	0.15	0.0086	9606.ENSP00000215375,9606.ENSP00000228506,9606.ENSP00000247191,9606.ENSP00000247986,9606.ENSP00000253063,9606.ENSP00000256442,9606.ENSP00000258149,9606.ENSP00000260363,9606.ENSP00000260731,9606.ENSP00000262030,9606.ENSP00000265643,9606.ENSP00000266058,9606.ENSP00000267102,9606.ENSP00000269305,9606.ENSP00000271417,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000278407,9606.ENSP00000278572,9606.ENSP00000294066,9606.ENSP00000294785,9606.ENSP00000296509,9606.ENSP00000298223,9606.ENSP00000300093,9606.ENSP00000301587,9606.ENSP00000303276,9606.ENSP00000306003,9606.ENSP00000311430,9606.ENSP00000312029,9606.ENSP00000312458,9606.ENSP00000322419,9606.ENSP00000323929,9606.ENSP00000324020,9606.ENSP00000335153,9606.ENSP00000335193,9606.ENSP00000335247,9606.ENSP00000338887,9606.ENSP00000341826,9606.ENSP00000341885,9606.ENSP00000342026,9606.ENSP00000345008,9606.ENSP00000345347,9606.ENSP00000346037,9606.ENSP00000346046,9606.ENSP00000346088,9606.ENSP00000346130,9606.ENSP00000346697,9606.ENSP00000349142,9606.ENSP00000349238,9606.ENSP00000350024,9606.ENSP00000355922,9606.ENSP00000356016,9606.ENSP00000356319,9606.ENSP00000356574,9606.ENSP00000356946,9606.ENSP00000357389,9606.ENSP00000358737,9606.ENSP00000359345,9606.ENSP00000360540,9606.ENSP00000361298,9606.ENSP00000361626,9606.ENSP00000362146,9606.ENSP00000362817,9606.ENSP00000363055,9606.ENSP00000363676,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000369538,9606.ENSP00000379191,9606.ENSP00000379462,9606.ENSP00000379888,9606.ENSP00000381782,9606.ENSP00000385510,9606.ENSP00000387875,9606.ENSP00000393392,9606.ENSP00000393963,9606.ENSP00000403172,9606.ENSP00000408910,9606.ENSP00000414321,9606.ENSP00000433642,9606.ENSP00000435777,9606.ENSP00000438483,9606.ENSP00000446215,9606.ENSP00000448012,9606.ENSP00000448665,9606.ENSP00000449328,9606.ENSP00000451112,9606.ENSP00000452780,9606.ENSP00000453302,9606.ENSP00000453403,9606.ENSP00000477781,9606.ENSP00000481110,9606.ENSP00000481126,9606.ENSP00000482760	ATP5D,MLEC,DLGAP5,KIF17,SESN2,CCNB1,MDM2,KIF23,KIF11,ATP5B,GAL,SLIT1,LMBR1L,TP53,ILDR2,NUF2,CDCA5,SERPING1,RPS3,MAP4K2,NCSTN,MAD2L1,FOLR2,PLK1,ATP5H,RNASE2,ATP5I,RPL4,UCP2,ARV1,RPLP2,A2M,KIF15,HSP90AA1,VPS39,STARD10,LRRC8D,HNRNPA1,RPS2,PRDX6,FBLN5,HMGB1,RPLP1,RPS17,RPL22,SVIP,BMF,ATP5C1,CCDC88B,SLC29A2,CENPF,CR1,KIF14,QSOX1,FCGR3A,SLC50A1,ATP5F1,RPL5,CEP55,KIF2C,YBX1,CDCA8,FABP3,ZWINT,RPL11,PADI2,SLC2A5,GDI2,CD59,CTAGE5,RPS8,SLC25A45,GPSM2,KIF4B,MYO1A,KIFC1,RPL6,DCTN2,RPS24,FCGR3B,RPS13,KPNA2,RAN,CEP290,DDIT3,RPLP0,NPC2,B2M,ADAM8,NUSAP1,TPT1,FAM83D,VPS11,PCSK6
GO Process	GO:0051321	Meiotic cell cycle	12	220	0.56	0.0086	9606.ENSP00000240423,9606.ENSP00000263753,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000355506,9606.ENSP00000355966,9606.ENSP00000356379,9606.ENSP00000361043,9606.ENSP00000372088,9606.ENSP00000411532,9606.ENSP00000434024	NCAPH,SGOL1,NUF2,BUB1B,PLK1,EXO1,NEK2,ASPM,RAD54L,RAD51,TOP2A,H2AFX
GO Process	GO:0050794	Regulation of cellular process	193	10932	0.07	0.0098	9606.ENSP00000219252,9606.ENSP00000236273,9606.ENSP00000246551,9606.ENSP00000247191,9606.ENSP00000250498,9606.ENSP00000253063,9606.ENSP00000256442,9606.ENSP00000256996,9606.ENSP00000258149,9606.ENSP00000260363,9606.ENSP00000260731,9606.ENSP00000261313,9606.ENSP00000261336,9606.ENSP00000261520,9606.ENSP00000261531,9606.ENSP00000261875,9606.ENSP00000261881,9606.ENSP00000262030,9606.ENSP00000262662,9606.ENSP00000264233,9606.ENSP00000265036,9606.ENSP00000265564,9606.ENSP00000265643,9606.ENSP00000266058,9606.ENSP00000267082,9606.ENSP00000267102,9606.ENSP00000268138,9606.ENSP00000269305,9606.ENSP00000271651,9606.ENSP00000275517,9606.ENSP00000278353,9606.ENSP00000278407,9606.ENSP00000278572,9606.ENSP00000284292,9606.ENSP00000285116,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000289749,9606.ENSP00000294066,9606.ENSP00000294785,9606.ENSP00000296509,9606.ENSP00000298223,9606.ENSP00000300035,9606.ENSP00000300093,9606.ENSP00000300213,9606.ENSP00000301788,9606.ENSP00000303222,9606.ENSP00000311083,9606.ENSP00000312458,9606.ENSP00000312995,9606.ENSP00000313950,9606.ENSP00000315476,9606.ENSP00000318094,9606.ENSP00000319417,9606.ENSP00000322532,9606.ENSP00000323224,9606.ENSP00000323929,9606.ENSP00000324124,9606.ENSP00000328174,9606.ENSP00000328405,9606.ENSP00000331019,9606.ENSP00000331901,9606.ENSP00000335153,9606.ENSP00000335247,9606.ENSP00000335357,9606.ENSP00000335463,9606.ENSP00000341826,9606.ENSP00000341885,9606.ENSP00000342026,9606.ENSP00000342307,9606.ENSP00000342513,9606.ENSP00000344828,9606.ENSP00000345008,9606.ENSP00000345347,9606.ENSP00000346037,9606.ENSP00000346130,9606.ENSP00000346697,9606.ENSP00000347032,9606.ENSP00000349238,9606.ENSP00000349477,9606.ENSP00000352676,9606.ENSP00000353670,9606.ENSP00000354571,9606.ENSP00000354645,9606.ENSP00000355090,9606.ENSP00000355506,9606.ENSP00000355731,9606.ENSP00000355922,9606.ENSP00000355958,9606.ENSP00000355966,9606.ENSP00000356016,9606.ENSP00000356150,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356574,9606.ENSP00000356840,9606.ENSP00000356946,9606.ENSP00000357152,9606.ENSP00000357206,9606.ENSP00000357643,9606.ENSP00000357881,9606.ENSP00000358482,9606.ENSP00000359345,9606.ENSP00000359939,9606.ENSP00000360021,9606.ENSP00000360034,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361298,9606.ENSP00000361433,9606.ENSP00000361540,9606.ENSP00000361626,9606.ENSP00000362688,9606.ENSP00000362817,9606.ENSP00000363055,9606.ENSP00000363583,9606.ENSP00000363676,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000364635,9606.ENSP00000365255,9606.ENSP00000366237,9606.ENSP00000367263,9606.ENSP00000367828,9606.ENSP00000368664,9606.ENSP00000368984,9606.ENSP00000369538,9606.ENSP00000370625,9606.ENSP00000370938,9606.ENSP00000372088,9606.ENSP00000373474,9606.ENSP00000376056,9606.ENSP00000376306,9606.ENSP00000377793,9606.ENSP00000378402,9606.ENSP00000378699,9606.ENSP00000379191,9606.ENSP00000380024,9606.ENSP00000380256,9606.ENSP00000380349,9606.ENSP00000381844,9606.ENSP00000385451,9606.ENSP00000385510,9606.ENSP00000386187,9606.ENSP00000386485,9606.ENSP00000388648,9606.ENSP00000389277,9606.ENSP00000399970,9606.ENSP00000402084,9606.ENSP00000402373,9606.ENSP00000403172,9606.ENSP00000406873,9606.ENSP00000408295,9606.ENSP00000408910,9606.ENSP00000409016,9606.ENSP00000409463,9606.ENSP00000410452,9606.ENSP00000411532,9606.ENSP00000412292,9606.ENSP00000415430,9606.ENSP00000416673,9606.ENSP00000432412,9606.ENSP00000433642,9606.ENSP00000434024,9606.ENSP00000434614,9606.ENSP00000435421,9606.ENSP00000435777,9606.ENSP00000438483,9606.ENSP00000438553,9606.ENSP00000439403,9606.ENSP00000439666,9606.ENSP00000446215,9606.ENSP00000448012,9606.ENSP00000448665,9606.ENSP00000449328,9606.ENSP00000451112,9606.ENSP00000452120,9606.ENSP00000452780,9606.ENSP00000453302,9606.ENSP00000453403,9606.ENSP00000456348,9606.ENSP00000477781,9606.ENSP00000478320,9606.ENSP00000479669,9606.ENSP00000480158,9606.ENSP00000481103,9606.ENSP00000481110,9606.ENSP00000481126,9606.ENSP00000481920,9606.ENSP00000482760,9606.ENSP00000482841,9606.ENSP00000483430,9606.ENSP00000484689	POLR2C,SYF2,HCST,DLGAP5,DAD1,SESN2,CCNB1,DDB2,MDM2,KIF23,KIF11,PEBP1,PZP,ICE2,SNW1,PTPLAD1,TIPIN,ATP5B,CDKN2C,POLQ,DEPDC1B,EXOSC7,GAL,SLIT1,ITGB7,LMBR1L,TICRR,TP53,CTSK,CDCA5,HSD17B12,SERPING1,RPS3,NRGN,SKA1,BUB1B,CCNB2,NBL1,MAP4K2,NCSTN,MAD2L1,FOLR2,KIAA0101,PLK1,CCNDBP1,POLR2G,MTCH2,CKS1B,ARV1,CLSPN,AURKB,EXOSC4,SCMH1,SKA3,PELI3,OR52N4,A2M,POLR2L,PIF1,DGKA,RPS27L,EEF1G,HSP90AA1,STARD10,CDKN3,CASC5,HNRNPA1,RPS2,PRDX6,FOXM1,IFI6,ZNF678,FBLN5,HMGB1,RPLP1,SVIP,BMF,PIP4K2C,CCDC88B,KLRG1,ZRANB1,SPOCD1,RNF121,GPATCH3,ARHGAP11A,EXO1,CDC42BPA,CENPF,DTL,NEK2,CR1,MDM4,KIF14,ASPM,QSOX1,POU2F1,FCGR3A,CD1C,NES,MKI67,IKZF5,CD101,RPL5,EXOSC1,GNG12,SERBP1,CEP55,STIL,KIF2C,EXOSC2,CDC20,YBX1,EIF3I,FABP3,ZWINT,RASGEF1A,RPL11,C1QC,C1QA,PADI2,ANKRD26,DFFA,AHNAK,ITM2B,RGCC,EXOSC9,GDI2,POLR2B,CDK8,RAD51,METTL14,EEF1B2,CIT,PRC1,SIN3A,CDK1,CD59,ING4,CCNF,CAPN3,ATL3,MDK,GPSM2,IFITM1,APOPT1,CHEK1,TMBIM6,PPP2R2D,WEE1,ACTA2,RPL6,PAK6,RFC5,DCTN2,TBRG1,ZNF740,STMN1,TOP2A,DEPDC1,GTSE1,PATL2,ATG13,FCGR3B,H2AFX,CDC27,DDIAS,RPS13,KPNA2,H2AFJ,ANAPC15,MTRNR2L8,RAN,CEP290,DDIT3,RPLP0,NPC2,ITGA7,B2M,ADAM8,NUSAP1,PARP6,TPT1,ATXN3,CAB39L,POLR2A,E2F8,FAM83D,VPS11,MED6,PCSK6,CRABP2,IFI27,IFITM2
